ticker,company_name,industry,fiscal_year,fiscal_quarter,form_type,filing_date,period_end_date,revenue_millions,cost_of_revenue_millions,gross_profit_millions,operating_income_millions,net_income_millions,eps_basic,eps_diluted,total_assets_millions,current_assets_millions,total_liabilities_millions,current_liabilities_millions,stockholders_equity_millions,operating_cash_flow_millions,investing_cash_flow_millions,financing_cash_flow_millions,net_margin_percent,operating_margin_percent,current_ratio,debt_to_assets_percent
MSFT,Microsoft Corp,,2013,,10-Q,2013-04-18,2012-03-31,55664.0,,,21571.0,17470.0,2.08,2.05,,,,,68659.0,23949.0,,,31.38,38.75,,
MSFT,Microsoft Corp,,2012,,10-K,2012-07-26,2011-03-31,16428.0,,,,5232.0,0.62,0.61,,,,,,,,,31.85,,,
MSFT,Microsoft Corp,,2012,,10-K,2012-07-26,2011-09-30,17372.0,,,,5738.0,0.68,0.68,,,,,,,,,33.03,,,
MSFT,Microsoft Corp,,2012,,10-K,2012-07-26,2010-06-30,62484.0,,,24098.0,18760.0,2.13,2.1,,,,,46175.0,24073.0,,,30.02,38.57,,
MSFT,Microsoft Corp,,2012,,10-K,2012-07-26,2012-03-31,17407.0,,,,5108.0,0.61,0.6,,,,,,,,,29.34,,,
MSFT,Microsoft Corp,,2012,,10-Q,2011-10-20,2010-09-30,16195.0,,,7116.0,5410.0,0.63,0.62,,,,,46942.0,8194.0,,,33.41,43.94,,
MSFT,Microsoft Corp,,2012,,10-Q,2012-04-19,2011-03-31,52576.0,,,20990.0,17276.0,2.03,2.01,,,,,53452.0,21052.0,,,32.86,39.92,,
MSFT,Microsoft Corp,,2012,,10-Q,2011-10-20,2011-09-30,17372.0,,,7203.0,5738.0,0.68,0.68,107415.0,75271.0,48024.0,25543.0,59391.0,8493.0,,,33.03,41.46,2.95,44.71
MSFT,Microsoft Corp,,2011,,10-K,2011-07-28,2010-03-31,14503.0,,,,4006.0,0.46,0.45,,,,,,,,,27.62,,,
MSFT,Microsoft Corp,,2011,,10-K,2011-07-28,2009-06-30,58437.0,,,20363.0,14569.0,1.63,1.62,,,,,39558.0,19037.0,,,24.93,34.85,,
